Time,secs	AreaA,cm2	AreaA,A	Unused    	Unused    	PiA,mN/m	Unused    	Unused    	Unused    	Unused    	Unused
462.610000	213.341142	9.210244	-595.823653	-595.823653	6.755329	45.475000	0.000000		161.100498	NaN
463.110000	213.281054	9.207650	-595.823653	-595.823653	6.7647379999999995	45.475000	0.000000		161.100498	NaN
463.610000	213.341142	9.210244	-595.823653	-595.823653	6.774146	45.475000	0.000000		161.100498	NaN
464.110000	213.341142	9.210244	-595.823653	-595.823653	6.774146	45.475000	0.000000		161.109378	NaN
464.610000	213.341142	9.210244	-595.823653	-595.823653	6.774146	45.475000	0.000000		161.109378	NaN
465.110000	213.341142	9.210244	-595.823653	-595.823653	6.769442	45.475000	0.000000		161.118259	NaN
465.610000	213.160879	9.202462	-595.823653	-595.823653	6.802372	45.475000	0.000000		161.109378	NaN
466.110000	212.980617	9.194680	-595.823653	-595.823653	6.792963	45.475000	0.000000		161.100498	NaN
466.610000	213.040704	9.197274	-595.823653	-595.823653	6.792963	45.475000	0.000000		161.109378	NaN
467.110000	213.040704	9.197274	-595.823653	-595.823653	6.811781	45.475000	0.000000		161.109378	NaN
467.610000	213.040704	9.197274	-595.823653	-595.823653	6.835302	45.475000	0.000000		161.118259	NaN
468.110000	212.980617	9.194680	-595.823653	-595.823653	6.816485	45.475000	0.000000		161.109378	NaN
468.610000	213.040704	9.197274	-595.823653	-595.823653	6.811781	45.475000	0.000000		161.118259	NaN
469.110000	212.980617	9.194680	-595.823653	-595.823653	6.8494150000000005	45.475000	0.000000		161.118259	NaN
469.610000	212.740267	9.184304	-595.823653	-595.823653	6.854119	45.475000	0.000000		161.118259	NaN
470.110000	212.620092	9.179116	-595.823653	-595.823653	6.868232	45.475000	0.000000		161.118259	NaN
470.610000	212.680179	9.181710	-595.823653	-595.823653	6.858823	45.475000	0.000000		161.118259	NaN
471.110000	212.680179	9.181710	-595.823653	-595.823653	6.887049	45.475000	0.000000		161.118259	NaN
471.610000	212.680179	9.181710	-595.823653	-595.823653	6.887049	45.475000	0.000000		161.118259	NaN
472.110000	212.680179	9.181710	-595.823653	-595.823653	6.8776399999999995	45.475000	0.000000		161.118259	NaN
472.610000	212.620092	9.179116	-595.823653	-595.823653	6.882345	45.475000	0.000000		161.127139	NaN
473.110000	212.439829	9.171333	-595.823653	-595.823653	6.901162	45.475000	0.000000		161.118259	NaN
473.610000	212.319654	9.166145	-595.823653	-595.823653	6.915274	45.475000	0.000000		161.118259	NaN
474.110000	212.379742	9.168739	-595.823653	-595.823653	6.905866	45.475000	0.000000		161.118259	NaN
474.610000	212.319654	9.166145	-595.823653	-595.823653	6.938796	45.475000	0.000000		161.127139	NaN
475.110000	212.319654	9.166145	-595.823653	-595.823653	6.915274	45.475000	0.000000		161.127139	NaN
475.610000	212.379742	9.168739	-595.823653	-595.823653	6.957613	45.475000	0.000000		161.127139	NaN
476.110000	212.319654	9.166145	-595.823653	-595.823653	6.9482040000000005	45.475000	0.000000		161.127139	NaN
476.610000	212.199479	9.160957	-595.823653	-595.823653	6.971726	45.475000	0.000000		161.118259	NaN
477.110000	212.019217	9.153175	-595.823653	-595.823653	6.971726	45.475000	0.000000		161.127139	NaN
477.610000	212.019217	9.153175	-595.823653	-595.823653	6.957613	45.475000	0.000000		161.136019	NaN
478.110000	212.019217	9.153175	-595.823653	-595.823653	6.981134	45.475000	0.000000		161.118259	NaN
478.610000	212.019217	9.153175	-595.823653	-595.823653	6.976430000000001	45.475000	0.000000		161.136019	NaN
479.110000	212.079304	9.155769	-595.823653	-595.823653	7.023473	45.475000	0.000000		161.127139	NaN
479.610000	212.019217	9.153175	-595.823653	-595.823653	6.990543000000001	45.475000	0.000000		161.136019	NaN
480.110000	211.778867	9.142799	-595.823653	-595.823653	7.018768	45.475000	0.000000		161.127139	NaN
480.610000	211.718779	9.140205	-595.823653	-595.823653	7.037585	45.475000	0.000000		161.136019	NaN
481.110000	211.718779	9.140205	-595.823653	-595.823653	7.051698	45.475000	0.000000		161.136019	NaN
481.610000	211.658692	9.137611	-595.823653	-595.823653	7.061107	45.475000	0.000000		161.136019	NaN
482.110000	211.718779	9.140205	-595.823653	-595.823653	7.0422899999999995	45.475000	0.000000		161.127139	NaN
482.610000	211.718779	9.140205	-595.823653	-595.823653	7.061107	45.475000	0.000000		161.136019	NaN
483.110000	211.718779	9.140205	-595.823653	-595.823653	7.07522	45.475000	0.000000		161.136019	NaN
483.610000	211.418342	9.127234	-595.823653	-595.823653	7.070515	45.475000	0.000000		161.136019	NaN
484.110000	211.418342	9.127234	-595.823653	-595.823653	7.061107	45.475000	0.000000		161.127139	NaN
